DOE_SCHOOL_CODE	DEEWR_ID	SCHOOL_NAME	LEVEL_OF_ SCHOOLING	SCHOOL_SPECIALITY_TYPE	YEAR_RANGES	PRESCHOOL_INDICATOR	SCHOOL_GENDER	TEACHING_STAFF	NON_TEACHING_STAFF	TOTAL_ENROLMENTS	PHONE	SCHOOL_EMAIL	FAX	LGA	ELECTORATE	FEDERAL_ELECTORATE	ADDRESS	SUBURB	POSTCODE	LATITUDE	LONGITUDE
5616	16247	Minerva School	Schools for Specific Purposes	Comprehensive	Medium / High Support needs	N	Coed	9	10	46	9521 3439	minerva-s.School@det.nsw.edu.au	9545 3316	Sutherland Shire (A)	Heathcote	Hughes	Eton St	Sutherland 	2232	-34.034965	151.058739
5647	16161	Bates Drive School	Schools for Specific Purposes	Comprehensive	Medium / High Support needs	N	Coed	15	14	64	9521 6049	batesdrive-s.School@det.nsw.edu.au	9545 3317	Sutherland Shire (A)	Miranda	Hughes	Bates Drive	Kareela 	2232	-34.022243	151.08527
5691	24089	Royal National Park Environmental Education Centre	Environmental Education Centre	Comprehensive	Environmental Education Centre (formerly Field Studies Centres)	N	Coed	2	2	NULL	9542 1951	royalnatpk-e.School@det.nsw.edu.au	9545 4830	Sutherland Shire (A)	Heathcote	Hughes	Farnell Ave	Audley Heights 	2232	-34.06282	151.057682
8437	8663	Kirrawee High School	Secondary School	Language	Year 7 to Year 12	N	Coed	77	17	1204.2	9521 2099	kirrawee-h.School@det.nsw.edu.au	9545 1547	Sutherland Shire (A)	Cronulla	Hughes	21-29 Hunter St	Kirrawee 	2232	-34.04348	151.073475
1845	4420	Engadine Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	19	10	312	9520 8559	engadine-p.School@det.nsw.edu.au	9548 1186	Sutherland Shire (A)	Heathcote	Hughes	Waratah Rd	Engadine 	2233	-34.06335	151.012431
2149	4404	Heathcote Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	15	4	291	9520 8759	heathcote-p.School@det.nsw.edu.au	9520 4638	Sutherland Shire (A)	Heathcote	Hughes	Oliver St	Heathcote 	2233	-34.086704	151.007321
3396	8668	Waterfall Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	2	1	45	9520 9638	waterfall-p.School@det.nsw.edu.au	9548 1238	Sutherland Shire (A)	Heathcote	Hughes	McKell Ave	Waterfall 	2233	-34.137598	150.995977
4292	4926	Engadine West Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	38	6	758	9520 8134	engadinew-p.School@det.nsw.edu.au	9520 5314	Sutherland Shire (A)	Heathcote	Hughes	Woronora Rd	Engadine 	2233	-34.059519	151.002566
4298	4408	Yarrawarrah Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	14	3	269	9520 0792	yarrawarra-p.School@det.nsw.edu.au	9548 1187	Sutherland Shire (A)	Heathcote	Hughes	Old Bush Rd	Engadine 	2233	-34.056574	151.026137
4431	6140	Marton Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	18	5	419	9520 6261	marton-p.School@det.nsw.edu.au	9520 6356	Sutherland Shire (A)	Heathcote	Hughes	107 Kingswood Rd	Engadine 	2233	-34.046492	151.024232
5272	4417	Heathcote East Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	5	3	126	9520 9034	heathcotee-p.School@det.nsw.edu.au	9520 0262	Sutherland Shire (A)	Heathcote	Hughes	Mimosa St	Heathcote 	2233	-34.082071	151.020259
8246	8667	Heathcote High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Coed	55	17	818.4	9520 9488	heathcote-h.School@det.nsw.edu.au	9520 8609	Sutherland Shire (A)	Heathcote	Hughes	Wilson Pde	Heathcote	2233	-34.082295	151.01441
8432	8666	Engadine High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Coed	68	17	1061.2	9520 0411	engadine-h.School@det.nsw.edu.au	9520 5293	Sutherland Shire (A)	Heathcote	Hughes	Porter Rd	Engadine 	2233	-34.062141	151.019341
2520	8670	Menai Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	9	1	109	9543 4924	menai-p.School@det.nsw.edu.au	9543 7363	Sutherland Shire (A)	Heathcote	Hughes	4R Hall Drive	Menai 	2234	-34.01213	151.006587
4077	5501	Illawong Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	11	3	215	9543 1604	illawong-p.School@det.nsw.edu.au	9543 7354	Sutherland Shire (A)	Miranda	Hughes	Fowler Rd	Illawong 	2234	-33.999133	151.042689
4536	8669	Bangor Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	27	4	504	9543 2244	bangor-p.School@det.nsw.edu.au	9543 4506	Sutherland Shire (A)	Heathcote	Hughes	130 Menai Road	Bangor	2234	-34.019534	151.029118
4573	7900	Tharawal Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	16	6	346	9543 5000	tharawal-p.School@det.nsw.edu.au	9543 5488	Sutherland Shire (A)	Miranda	Hughes	Gerald Rd	Menai 	2234	-34.003289	151.025929
4605	16155	Alfords Point Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	12	4	224	9543 0185	alfordspt-p.School@det.nsw.edu.au	9543 2817	Sutherland Shire (A)	Miranda	Hughes	Brushwood Drive	Alfords Point 	2234	-33.992403	151.02399
8271	14684	Lucas Heights Community School	Central/Community School	Comprehensive	Kinder to Year 12	N	Coed	57	19	773	9543 8317	lucasheigh-h.School@det.nsw.edu.au	9541 0036	Sutherland Shire (A)	Holsworthy	Hughes	132 Old Illawarra Rd	Barden Ridge 	2234	-34.035778	151.004817
8583	6137	Menai High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Coed	81	12	1211.6	9543 7000	menai-h.School@det.nsw.edu.au	9543 5513	Sutherland Shire (A)	Miranda	Hughes	40 Gerald Rd	Menai 	2234	-34.002904	151.023851
1857	8676	Woodport Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	18	4	406	4367 7324	woodport-p.School@det.nsw.edu.au	4365 3108	Gosford (C)	Terrigal	Robertson	The Entrance Rd	Erina 	2250	-33.439347	151.37849
2049	8679	Gosford Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	25	4	542	4349 3600	gosford-p.school@det.nsw.edu.au	4349 3699	Gosford (C)	Gosford	Robertson	Faunce St West	West Gosford	2250	-33.42075	151.33449
2171	4416	Holgate Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	8	2	172	4367 7444	holgate-p.school@det.nsw.edu.au	4365 3088	Gosford (C)	Terrigal	Dobell	RMB 5255 Wattle Tree Rd	Holgate 	2250	-33.405106	151.407722
2334	8692	Kulnura Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	4	3	64	4376 1264	kulnura-p.School@det.nsw.edu.au	4376 1109	Gosford (C)	Gosford	Robertson	9 Williams Rd	Kulnura 	2250	-33.232582	151.216011
2407	8682	Lisarow Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	15	6	303	4362 1048	lisarow-p.school@det.nsw.edu.au	4362 1621	Gosford (C)	The Entrance	Dobell	17 MacDonalds Road	Lisarow	2250	-33.381283	151.376296
2703	8684	Narara Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	16	5	361	4328 3024	narara-p.school@det.nsw.edu.au	4329 1472	Gosford (C)	The Entrance	Dobell	Newling St	Lisarow 	2250	-33.387915	151.362616
2852	8686	Peats Ridge Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	2	2	42	4373 1149	peatsridge-p.School@det.nsw.edu.au	4373 1076	Gosford (C)	Gosford	Robertson	1231 Peats Ridge Road	Peats Ridge	2250	-33.325841	151.23275
3078	8688	Somersby Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	3	2	72	4372 1233	somersby-p.school@det.nsw.edu.au	4372 1542	Gosford (C)	Gosford	Robertson	Wisemans Ferry Rd	Gosford 	2250	-33.358368	151.291312
4050	8687	Point Clare Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	23	5	511	4325 0594	pointclare-p.school@det.nsw.edu.au	4323 4983	Gosford (C)	Gosford	Robertson	Takari Ave	Point Clare 	2250	-33.443519	151.327734
4110	8672	Central Mangrove Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	3	2	67	4373 1156	centmangro-p.School@det.nsw.edu.au	4373 1051	Gosford (C)	Gosford	Robertson	1708 Wisemans Ferry Rd	Central Mangrove	2250	-33.295626	151.244425
4218	8677	Gosford East Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	21	7	336	4325 2178	gosfordest-p.school@det.nsw.edu.au	4323 6930	Gosford (C)	Gosford	Robertson	Cnr York & Webb Sts	East Gosford	2250	-33.437558	151.348883
4397	8690	Wyoming Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	20	10	290	4325 2181	wyoming-p.School@det.nsw.edu.au	4323 6932	Gosford (C)	The Entrance	Dobell	Maidens Brush Rd	Wyoming 	2250	-33.408202	151.355782
4398	8673	Chertsey Primary School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	15	10	233	4325 3963	chertsey-p.school@det.nsw.edu.au	4323 6891	Gosford (C)	Terrigal	Robertson	Willow Rd	Springfield 	2250	-33.429911	151.369267
4427	8685	Niagara Park Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	23	5	512	4328 3397	niagarapk-p.School@det.nsw.edu.au	4329 1420	Gosford (C)	The Entrance	Robertson	Narara Valley Drive	Niagara Park 	2250	-33.384122	151.351096
4508	8689	Valley View Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	22	7	420	4328 4433	valleyview-p.School@det.nsw.edu.au	4329 1481	Gosford (C)	The Entrance	Dobell	Chamberlain Rd	Wyoming 	2250	-33.400215	151.361943
4580	14680	Kariong Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	29	8	597	4340 1885	kariong-p.School@det.nsw.edu.au	4340 2523	Gosford (C)	Gosford	Robertson	Langford Drive	Kariong 	2250	-33.441014	151.289632
5456	16188	Girrakool School	Schools for Specific Purposes	Comprehensive	Juvenile Justice establishment	N	Boys	22	18	92	4340 1353	girrakool-s.School@det.nsw.edu.au	4340 2527	Gosford (C)	Gosford	Robertson	Pacific Hwy	Kariong 	2250	-33.4237	151.296
5627	16230	Glenvale School	Schools for Specific Purposes	Comprehensive	Medium / High Support needs	N	Coed	26	26	143	4325 7783	glenvale-s.School@det.nsw.edu.au	4323 6326	Gosford (C)	Gosford	Robertson	Narara Creek Rd	Narara 	2250	-33.40658	151.335729
5740	24090	Rumbalara Environmental Education Centre	Environmental Education Centre	Comprehensive	Environmental Education Centre (formerly Field Studies Centres)	N	Coed	2	2	NULL	4324 7200	rumbalara-e.School@det.nsw.edu.au	4323 7451	Gosford (C)	Gosford	Robertson	Donnison St	Gosford 	2250	-33.428082	151.347464
5760	23769	North Gosford Learning Centre	Schools for Specific Purposes	Comprehensive	Behaviour Disorder	N	Coed	5	5	23	4323 2800	Ngosfordlc-s.School@det.nsw.edu.au	4323 1611	Gosford (C)	Gosford	Robertson	20 Jarrett Street	North Gosford	2250	-33.416874	151.35037
8115	8678	Gosford High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Coed	67	13	1089.1	4325 2048	gosford-h.School@det.nsw.edu.au	4323 3175	Gosford (C)	Gosford	Robertson	Racecourse Rd	Gosford 	2250	-33.417183	151.341388
8292	28626	Kariong Mountains High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Coed	42	8	591	4340 0246	kariongmtn-h.school@det.nsw.edu.au	4340 0259	Gosford (C)	Gosford	Robertson	Mt Penang Parklands	Kariong	2250	-33.43039	151.296076
8405	8675	Erina High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Coed	53	10	700.1	4367 7353	erina-h.school@det.nsw.edu.au	4365 3086	Gosford (C)	Terrigal	Robertson	152 The Entrance Rd	Erina 	2250	-33.440279	151.381503
8467	8680	Henry Kendall High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Coed	58	16	743.4	4325 7754	henrykenda-h.school@det.nsw.edu.au	4323 2685	Gosford (C)	Gosford	Robertson	Faunce St	Gosford 	2250	-33.420757	151.334496
8544	14977	Lisarow High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Coed	52	9	751	4328 4599	lisarow-h.school@det.nsw.edu.au	4329 1416	Gosford (C)	The Entrance	Dobell	Chamberlain Rd	Lisarow	2250	-33.385327	151.370354
8591	14694	Narara Valley High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Coed	79	17	1118.3	4329 3780	nararavaly-h.school@det.nsw.edu.au	4328 3609	Gosford (C)	Gosford	Robertson	Cnr Fountains & Pandala Rds	Narara 	2250	-33.398422	151.334064
1082	16159	Avoca Beach Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	21	6	507	4382 1416	avocabch-p.School@det.nsw.edu.au	4381 1431	Gosford (C)	Terrigal	Robertson	The Round Drive	Avoca Beach	2251	-33.471154	151.430745
1498	8671	Brisbania Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	19	6	435	4369 1246	brisbania-p.school@det.nsw.edu.au	4363 1068	Gosford (C)	Terrigal	Robertson	High St	Saratoga	2251	-33.478822	151.357294
2304	8681	Kincumber Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	20	6	434	4369 1544	kincumber-p.school@det.nsw.edu.au	4369 2963	Gosford (C)	Terrigal	Robertson	Avoca Drive	Kincumber 	2251	-33.468184	151.394355
4548	16208	Copacabana Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	14	4	316	4382 1766	copacabana-p.school@det.nsw.edu.au	4381 1427	Gosford (C)	Terrigal	Robertson	Pueblo St	Copacabana 	2251	-33.485042	151.436848
8585	14954	Kincumber High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Coed	65	15	875	4369 1555	kincumber-h.school@det.nsw.edu.au	4363 1265	Gosford (C)	Terrigal	Robertson	Bungoona Rd	Kincumber	2251	-33.464894	151.382516
1839	8699	Empire Bay Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	23	6	454	4369 1796	empirebay-p.School@det.nsw.edu.au	4363 1052	Gosford (C)	Terrigal	Robertson	Empire Bay Drive	Empire Bay 	2256	-33.504316	151.362889
4329	8702	Woy Woy South Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	25	5	486	4341 1899	woywoysth-p.school@det.nsw.edu.au	4343 1984	Gosford (C)	Gosford	Robertson	The School Mall	Woy Woy 	2256	-33.503577	151.321429
7445	8701	Woy Woy Public School	Primary School	Comprehensive	Kinder to Year 6	Y	Coed	29	13	450	4341 3555	woywoy-p.school@det.nsw.edu.au	4344 3927	Gosford (C)	Gosford	Robertson	Blackwall & Park Rds	Woy Woy 	2256	-33.491705	151.328247
8374	6489	Brisbane Water Secondary College Woy Woy Campus	Secondary School	Senior College	Year 10 to Year 12	N	Coed	56	14	704.3	4341 1600	woywoy-h.school@det.nsw.edu.au	4344 3263	Gosford (C)	Gosford	Robertson	Edward St	Woy Woy 	2256	-33.492687	151.323582
1864	8703	Ettalong Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	31	8	543	4341 3550	ettalong-p.School@det.nsw.edu.au	4343 1517	Gosford (C)	Gosford	Robertson	Karingi St	Ettalong Beach 	2257	-33.513539	151.332702
2902	8700	Pretty Beach Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	5	3	143	4360 1012	prettybch-p.School@det.nsw.edu.au	4360 2153	Gosford (C)	Terrigal	Robertson	4 Pretty Beach Road	Pretty Beach	2257	-33.528039	151.350019
3995	5901	Umina Beach Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	36	5	799	4341 1630	umina-p.school@det.nsw.edu.au	4344 3916	Gosford (C)	Gosford	Robertson	Sydney Ave	Umina Beach 	2257	-33.52511	151.314055
8513	8704	Brisbane Water Secondary College Umina Campus	Secondary School	Junior College	Year 7 to Year 10	N	Coed	58	20	833	4341 9066	umina-h.school@det.nsw.edu.au	4343 1704	Gosford (C)	Gosford	Robertson	Veron Rd	Umina 	2257	-33.507421	151.308139
2820	8705	Ourimbah Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	22	4	434	4362 1033	ourimbah-p.school@det.nsw.edu.au	4362 2531	Wyong (A)	The Entrance	Dobell	121 Pacific Hwy	Ourimbah 	2258	-33.354916	151.368168
1203	8706	Berkeley Vale Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	40	3	801	4388 1796	berkeleyva-p.School@det.nsw.edu.au	4389 1178	Wyong (A)	The Entrance	Dobell	Pindarri Ave	Berkeley Vale 	2259	-33.350515	151.435888
2236	8709	Jilliby Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	4	2	79	4355 1240	jilliby-p.School@det.nsw.edu.au	4355 1401	Wyong (A)	Wyong	Dobell	Jilliby Rd	Wyong 	2259	-33.239937	151.380052
2259	8710	Kanwal Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	33	8	699	4392 3477	kanwal-p.School@det.nsw.edu.au	4393 1621	Wyong (A)	Wyong	Dobell	Craigie Ave	Kanwal 	2259	-33.262456	151.484884
2362	8711	Lake Munmorah Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	26	8	488	4358 1171	lakemunmor-p.School@det.nsw.edu.au	4358 8625	Wyong (A)	Swansea	Shortland	Carters Rd	Lake Munmorah	2259	-33.1882	151.575559
3147	8713	Tacoma Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	7	5	172	4353 1154	tacoma-p.School@det.nsw.edu.au	4351 2854	Wyong (A)	Wyong	Dobell	Hillcrest Ave	Tacoma 	2259	-33.28298	151.458936
3269	8714	Tuggerah Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	22	6	504	4352 1116	tuggerah-p.school@det.nsw.edu.au	4351 2827	Wyong (A)	The Entrance	Dobell	1 Pacific Hwy	Tuggerah	2259	-33.312999	151.415571
3522	8717	Wyee Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	13	4	220	4357 1225	wyee-p.school@det.nsw.edu.au	4357 1828	Lake Macquarie (C)	Lake Macquarie	Hunter	Wyee St	Wyee 	2259	-33.174833	151.482961
3527	8720	Wyong Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	21	8	494	4352 2077	wyong-p.school@det.nsw.edu.au	4351 2885	Wyong (A)	Wyong	Dobell	Cutler Drive	Wyong 	2259	-33.271886	151.426188
3528	8718	Wyong Creek Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	3	2	63	4352 1583	wyongcreek-p.School@det.nsw.edu.au	4352 1585	Wyong (A)	Wyong	Dobell	583 Yarramalong Road	Wyong Creek	2259	-33.267129	151.34807
4097	8715	Tuggerawong Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	10	5	220	4392 1542	tuggerawon-p.school@det.nsw.edu.au	4393 1650	Wyong (A)	Wyong	Dobell	Cadonia Rd	Tuggerawong 	2259	-33.279824	151.485605
4117	8716	Warnervale Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	18	4	447	4392 1358	warnervale-p.school@det.nsw.edu.au	4393 1647	Wyong (A)	Wyong	Dobell	179-201 Warnervale Rd	Hamlyn Terrace	2259	-33.251778	151.469227
4316	8712	Mannering Park Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	14	6	242	4359 1184	mannringpk-p.School@det.nsw.edu.au	4359 1667	Wyong (A)	Swansea	Shortland	Vales Rd	Mannering Park 	2259	-33.150794	151.536785
4320	8708	Gwandalan Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	17	4	322	4976 1318	gwandalan-p.school@det.nsw.edu.au	4972 5189	Wyong (A)	Swansea	Shortland	Kanangra Drive	Gwandalan 	2259	-33.135468	151.582444
4542	16204	Chittaway Bay Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	21	10	395	4388 2188	chittaway-p.School@det.nsw.edu.au	4389 1905	Wyong (A)	Wyong	Dobell	Chittaway Rd	Chittaway Bay 	2259	-33.325978	151.43201
4637	24010	Woongarrah Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	26	6	477	4392 7493	woongarrah-p.school@det.nsw.edu.au	4392 7807	Wyong (A)	Wyong	Dobell	63-73 Mataram Rd	Woongarrah 	2259	-33.242434	151.484133
5755	22788	HopeTown School	Schools for Specific Purposes	Comprehensive	Emotional disturbance	N	Coed	10	11	46	4353 2522	hopetown-s.school@det.nsw.edu.au	4351 2381	Wyong (A)	Wyong	Dobell	177 Pollock Ave	Wyong 	2259	-33.280982	151.448585
8166	6373	Wyong High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Coed	54	17	733.4	4353 1088	wyong-h.school@det.nsw.edu.au	4351 2591	Wyong (A)	Wyong	Dobell	53 Alison Road	Wyong	2259	-33.281328	151.417918
8278	16643	Wadalba Community School	Central/Community School	Comprehensive	Kinder to Year 12	N	Coed	94	24	1419.6	4392 5000	wadalba-c.School@det.nsw.edu.au	4392 5046	Wyong (A)	Wyong	Dobell	Orchid Way	Wadalba 	2259	-33.264769	151.467432
8279	16629	Lake Munmorah High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Coed	64	14	764.6	4358 1411	lakemunmor-h.school@det.nsw.edu.au	4358 1433	Wyong (A)	Swansea	Shortland	Carters Rd	Lake Munmorah	2259	-33.189743	151.573699
1856	8674	Erina Heights Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	17	4	338	4367 7608	erinahts-p.school@det.nsw.edu.au	4365 3104	Gosford (C)	Terrigal	Robertson	Serpentine Rd	Erina Heights 	2260	-33.428028	151.413585
3191	8723	Terrigal Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	33	9	763	4384 4599	terrigal-p.School@det.nsw.edu.au	4385 2470	Gosford (C)	Terrigal	Robertson	Havenview Rd	Terrigal 	2260	-33.442449	151.438197
4522	8724	Wamberal Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	30	7	700	4384 1111	wamberal-p.School@det.nsw.edu.au	4385 2478	Gosford (C)	Terrigal	Dobell	Lea Ave	Wamberal 	2260	-33.412197	151.448258
8533	8722	Terrigal High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Coed	71	14	1148	4384 4677	terrigal-h.School@det.nsw.edu.au	4385 2469	Gosford (C)	Terrigal	Robertson	Charles Kay Drive	Terrigal 	2260	-33.442167	151.429342
1849	8729	The Entrance Public School	Primary School	Comprehensive	Kinder to Year 6	Y	Coed	30	7	546	4332 2154	thentrance-p.school@det.nsw.edu.au	4334 3202	Wyong (A)	The Entrance	Dobell	Oakland Ave	The Entrance 	2261	-33.346741	151.493009
4426	8726	Killarney Vale Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	21	5	387	4388 1066	killarneyv-p.school@det.nsw.edu.au	4389 2140	Wyong (A)	The Entrance	Dobell	Hendricks Rd	Killarney Vale 	2261	-33.365221	151.456103
4520	8725	Bateau Bay Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	29	8	749	4332 8000	bateaubay-p.school@det.nsw.edu.au	4334 3121	Wyong (A)	The Entrance	Dobell	2A Waratah Street	Bateau Bay	2261	-33.391771	151.476143
4566	15110	Brooke Avenue Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	23	6	451	4333 1022	brookeave-p.School@det.nsw.edu.au	4332 6570	Wyong (A)	The Entrance	Dobell	Brooke Ave	Killarney Vale	2261	-33.37611	151.466133
8274	15387	Tuggerah Lakes Secondary College Tumbi Umbi Campus	Secondary School	Junior College	Year 7 to Year 10	N	Coed	71	18	1082	4385 6802	tumbiumbi-h.school@det.nsw.edu.au	4385 6805	Wyong (A)	The Entrance	Dobell	Bellevue Rd	Tumbi Umbi 	2261	-33.395596	151.454054
8465	8727	Tuggerah Lakes Secondary College The Entrance Campus	Secondary School	Senior College	Year 11 to Year 12	N	Coed	59	16	804.6	4332 2944	thentrance-h.school@det.nsw.edu.au	4332 3543	Wyong (A)	The Entrance	Dobell	The Entrance Rd Shelly Beach NSW 2261	NULL	2261	-33.371256	151.476613
8563	14976	Tuggerah Lakes Secondary College Berkeley Vale Campus	Secondary School	Junior College	Year 7 to Year 10	N	Coed	48	13	699	4388 1899	berkeleyva-h.School@det.nsw.edu.au	4388 5539	Wyong (A)	The Entrance	Dobell	Berkeley Rd	Berkeley Vale	2261	-33.341698	151.424751
4183	8730	Budgewoi Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	30	8	540	4390 9166	budgewoi-p.School@det.nsw.edu.au	4399 1958	Wyong (A)	Swansea	Shortland	Lukela Ave	Budgewoi	2262	-33.225718	151.549312
4588	15120	Northlakes Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	25	9	363	4399 2071	northlake-p.school@det.nsw.edu.au	4399 1935	Wyong (A)	Swansea	Shortland	69 Goorama Avenue	San Remo	2262	-33.214542	151.514788
4623	15983	Blue Haven Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	28	7	585	4399 0167	bluehaven-p.school@det.nsw.edu.au	4399 0184	Wyong (A)	Wyong	Dobell	37 Colorado Drive	Blue Haven 	2262	-33.212499	151.502826
8547	6372	Northlakes High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Coed	77	21	989.4	4390 0555	northlake-h.School@det.nsw.edu.au	4399 1792	Wyong (A)	Swansea	Shortland	Brava Ave	San Remo 	2262	-33.216762	151.513395
3250	8732	Toukley Public School	Primary School	Comprehensive	Kinder to Year 6	Y	Coed	26	10	502	4396 4275	toukley-p.School@det.nsw.edu.au	4397 1586	Wyong (A)	Wyong	Dobell	Main Rd	Toukley 	2263	-33.267795	151.550307
4517	8731	Gorokan Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	27	9	542	4392 4642	gorokan-p.school@det.nsw.edu.au	4393 1698	Wyong (A)	Wyong	Dobell	Dudley St	Gorokan 	2263	-33.252454	151.510205
8515	6371	Gorokan High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Coed	74	22	1055.6	4393 7000	gorokan-h.school@det.nsw.edu.au	4393 1157	Wyong (A)	Wyong	Dobell	43 Goobarabah Avenue	Lake Haven	2263	-33.242182	151.508233
1762	8734	Dora Creek Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	5	3	118	4973 1261	doracreek-p.school@det.nsw.edu.au	4970 5718	Lake Macquarie (C)	Lake Macquarie	Hunter	Cooranbong Rd	Dora Creek 	2264	-33.07902	151.499217
2532	8733	Bonnells Bay Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	18	5	421	4973 1149	bonnellbay-p.School@det.nsw.edu.au	4970 5487	Lake Macquarie (C)	Lake Macquarie	Hunter	Morisset Park Rd	Bonnells Bay 	2264	-33.114489	151.516783
2621	8736	Morisset Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	14	6	243	4973 1435	morisset-p.School@det.nsw.edu.au	4970 5939	Lake Macquarie (C)	Lake Macquarie	Hunter	6 Terrigal Street	Morisset	2264	-33.103543	151.489583
8413	6346	Morisset High School	Secondary School	Comprehensive	Year 7 to Year 12	N	Coed	57	19	765.8	4973 1999	morisset-h.School@det.nsw.edu.au	4970 5386	Lake Macquarie (C)	Lake Macquarie	Hunter	Bridge St	Morisset 	2264	-33.104657	151.486629
1635	8737	Cooranbong Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	11	4	145	4977 1122	cooranbong-p.School@det.nsw.edu.au	4977 2059	Lake Macquarie (C)	Lake Macquarie	Hunter	Government Rd	Cooranbong 	2265	-33.0805	151.441793
3373	8738	Wangi Wangi Public School	Primary School	Comprehensive	Kinder to Year 6	N	Coed	5	5	90	4975 1312	wangiwangi-p.school@det.nsw.edu.au	4975 4238	Lake Macquarie (C)	Lake Macquarie	Hunter	Dobell Drive	Wangi Wangi 	2267	-33.072298	151.582994
